specification_description,work_category
GRAFFITI REMOVAL AND ANTI-GRAFFITI COATING,SITE_WORK
GUARD FENCE REPAIR,SAFETY
CARBON FIBER REINFORCED POLYMER,STRUCTURES
DURATION SPECIFIC (A+B),SITE_WORK
WINTER WEATHER MATERIALS (MATERIALS ONLY),SAFETY
CONCRETE SAND (MATERIALS ONLY),EARTHWORK
LANDSCAPE AMENITY (INTERPRETIVE SIGN),LANDSCAPE
LANDSCAPE AMENITY,LANDSCAPE
REMOVING TREATED AND UNTREATED BASE AND ASPHALT PAVEMENT,PAVEMENT
TOPSOIL,LANDSCAPE
ROADSIDE AMENITY,SITE_WORK
ULTRA-HIGH-PRESSURE WATER CUTTING TREATMENT,STRUCTURES
REINFORCED PAVING MAT FOR ASPHALT PAVEMENT OVERLAYS,PAVEMENT
PAVEMENT TEXTURING,PAVEMENT
POLYMERIC COMPOSITE PAVING GEOGRID FOR ASPHALT PAVEMENT OVERLAY REINFORCEMENT,PAVEMENT
STEEL BRIDGE ZONE PAINTING,STRUCTURES
PREFABRICATED SHADE STRUCTURE,SITE_WORK
CONCRETE SUPERSTRUCTURES,STRUCTURES
PRECAST PRESTRESSED CONCRETE STRUCTURAL MEMBERS,STRUCTURES
"FRAMES, GRATES, RINGS, AND COVERS",DRAINAGE
ADJUSTING MANHOLES AND INLETS,DRAINAGE
CLEANING EXISTING CULVERTS,DRAINAGE
RAISING EXISTING STRUCTURES,STRUCTURES
CONCRETE SCUPPER,DRAINAGE
SAFETY REST AREA,SITE_WORK
LANDSCAPE PAVERS,LANDSCAPE
FIBER OPTIC VIDEO DATA TRANSMISSION EQUIPMENT,SIGNALS
ETHERNET SWITCH,SIGNALS
EMBEDDED LED DYNAMIC MESSAGE SIGN SYSTEM,SIGNALS
LANE-USE CONTROL SIGNAL SYSTEM EQUIPMENT,SIGNALS
VANDALISM PROTECTION PANELS,SIGNALS
TRAFFIC SIGNALS,SIGNALS
TREATED TIMBER POLES,SIGNALS
COFW CELLULAR ROUTER (INSTALLATION ONLY),SIGNALS
LED ILLUMINATION ASSEMBLY,SIGNALS
REMOVAL AND PROPER DISPOSAL OF DRIFTWOOD AND DEBRIS,SITE_WORK
WATER MAINS,UTILITIES
DREDGING AND MOBILIZATION,SITE_WORK
PREPACKAGED CONCRETE (MATERIALS ONLY),PAVEMENT
REPAIR OF SPALLING IN CONCRETE PAVEMENT,PAVEMENT
STORMWATER TREATMENT UNIT - MEMBRANE FILTER,DRAINAGE
LITTER REMOVAL,SITE_WORK
WATER LINE CONSTRUCTION AND ADJUSTMENTS,UTILITIES
PICNIC AREA MAINTENANCE,SITE_WORK
POST AND CABLE FENCE,SITE_WORK
CONCRETE RAIL REPAIR,STRUCTURES
WINTER WEATHER MATERIALS (MATERIALS ONLY): VOID - DO NOT USE,SAFETY
FLEXIBLE BASE (MATERIALS),PAVEMENT
DENSE-GRADED HOT-MIX ASPHALT (MATERIALS ONLY),PAVEMENT
RADAR VEHICLE DETECTION SYSTEM COMPONENTS FOR SIGNALIZED INTERSECTION CONTROL (MATERIALS ONLY),SIGNALS
SAND (MATERIAL ONLY),EARTHWORK
BLADING,EARTHWORK
ROAD GRADER WORK,EARTHWORK
TIED-CONCRETE BLOCK EROSION CONTROL MAT,LANDSCAPE
COLD IN-PLACE RECYCLING (CIR) USING ASPHALT EMULSION,PAVEMENT
PENETRATING CONCRETE SURFACE TREATMENT,PAVEMENT
BRIDGE DECK OVERLAYS,STRUCTURES
AMPHIBIAN AND REPTILE EXCLUSION FENCE,LANDSCAPE
DRAGNET TRUCK ARRESTING SYSTEM,SAFETY
TRUCK-MOUNTED ATTENUATOR (TMA) AND TRAILER ATTENUATOR (TA),SAFETY
REMOVE AND RESET EXISTING PRECAST CONCRETE WHEEL STOPS,SITE_WORK
REMOVE AND RELOCATE FIRE HYDRANTS,UTILITIES
TRENCHLESS EXCAVATION FOR WATER AND WASTEWATER UTILITIES,UTILITIES
ITS SYSTEM SUPPORT EQUIPMENT,SIGNALS
NETWORKING INTELLIGENT TRANSPORTATION SYSTEM (ITS) COMMUNICATIONS CABLE,SIGNALS
BATTERY BACK-UP SYSTEM FOR SIGNAL CABINETS,SIGNALS
RADAR ADVANCE DETECTION DEVICE (INSTALLATION ONLY),SIGNALS
"SLDMS INSTALLATION, RELOCATION, AND REMOVAL",SIGNALS
LONGITUDINAL PREFABRICATED PAVEMENT MARKINGS WITH WARRANTY,TRAFFIC_CONTROL
LED NEIGHBORHOOD FRIENDLY HIGH MAST (NFHM) ILLUMINATION ASSEMBLIES,SIGNALS
CONCRETE ENCASED DUCT BANK,SIGNALS
UNDERGROUND CABLE VAULT,SIGNALS
INTELLIGENT TRANSPORTATION SYSTEM (ITS) GROUND BOX,SIGNALS
LED WRONG WAY DRIVER SYSTEM,SIGNALS
RECTANGULAR RAPID FLASHING BEACONS (RRFB),SIGNALS
SOLAR POWERED DRIVER FEEDBACK SPEED SIGN ASSEMBLY (PED POLE MOUNT),SIGNALS
JOINT DUCT BANK,SIGNALS
PREFABRICATED PAVEMENT MARKINGS,TRAFFIC_CONTROL
PREFABRICATED PAVEMENT MARKINGS AND RUMBLE STRIPS,TRAFFIC_CONTROL
TRAFFIC SIGNAL POLE ASSEMBLIES (STEEL),SIGNALS
CLEANING BRIDGE COMPONENTS,STRUCTURES
VACUUM CLEANING,SITE_WORK
AUTOMATED BARRICADE GATE SYSTEM,TRAFFIC_CONTROL
REPLACEMENT OF WATER AND SEWER LINES,UTILITIES
AUTOMATED BARRIER GATE REPAIR,SAFETY
WATERLINE REPLACEMENT,UTILITIES
AUTOMATED BARRICADE VERTICAL GATE SYSTEM,TRAFFIC_CONTROL
REPAIR CABLE BARRIER SYSTEM,SAFETY
REPLACING ELASTOMERIC BEARING PADS,STRUCTURES
Lime (Materials Only),EARTHWORK
EXCAVATION,EARTHWORK
COMPOST,LANDSCAPE
GEOGRID BASE REINFORCEMENT,PAVEMENT
DIAMOND GRINDING AND GROOVING PAVEMENT,PAVEMENT
REINFORCEMENT GRID FOR ASPHALT PAVEMENT,PAVEMENT
"SALVAGING, HAULING, AND STOCKPILING RECLAIMABLE ASPHALT PAVEMENT",PAVEMENT
SOUND WALLS,STRUCTURES
FLOWABLE BACKFILL,EARTHWORK
SPECIAL SURFACE FILLER,PAVEMENT
FOUNDATION LOAD TEST,STRUCTURES
STONE COLUMNS,EARTHWORK
PVC DECK DRAINS,DRAINAGE
SAFETY END TREATMENT,SAFETY
PIPE FOR DRAINS,DRAINAGE
GEOGRID REINFORCEMENT FOR EMBANKMENTS,EARTHWORK
RETROFIT DETECTABLE WARNING SURFACES,SITE_WORK
REMOVE AND REPLACE WOOD FENCE,SITE_WORK
CONSTRUCTING DETOURS,TRAFFIC_CONTROL
WROUGHT IRON FENCE,SITE_WORK
ITS SYSTEM INTEGRATION,SIGNALS
ROADWAY LIGHTING ASSEMBLY WITH LED FIXTURES,SIGNALS
LONGITUDINAL CHANNELIZING MOUNTABLE CURB SYSTEM,TRAFFIC_CONTROL
SPREAD SPECTRUM RADIOS FOR TRAFFIC SIGNALS,SIGNALS
LED BLANK-OUT SIGN ASSEMBLY,SIGNALS
SOLAR POWERED RECTANGULAR RAPID FLASHING BEACON ASSEMBLIES (RRFB),SIGNALS
DECORATIVE ILLUMINATION ASSEMBLY,SIGNALS
TRAY CABLE,SIGNALS
SMART WORK ZONE INTELLIGENT TRANSPORTATION SYSTEM,SIGNALS
TRAFFIC DATA COLLECTION SYSTEM-VEHICLE CLASSIFICATION(TDCS-VC),SIGNALS
PEDESTRIAN LED LIGHTING ASSEMBLY,SIGNALS
CTRMA ROADWAY ILLUMINATION ASSEMBLIES,SIGNALS
STORM SEWER (TELEVISION INSPECTION),DRAINAGE
TEMPORARY EMERGENCY GENERATOR,SIGNALS
LANE CLOSURES,TRAFFIC_CONTROL
INSTALLATION OF WATER LINES,UTILITIES
BRIDGE SUBSTRUCTURE DEBRIS CLEANING,STRUCTURES
HERBICIDE TREATMENT,LANDSCAPE
SUPERPAVE MIXTURES (MATERIALS ONLY),PAVEMENT
Hydraulic Cement (Materials Only),PAVEMENT
PRESSURE IRRIGATION POLYVINYL CHLORIDE (PVC) PIPE,LANDSCAPE
LOOSE AGGREGATE & BOULDERS,LANDSCAPE
SPRINKLING,LANDSCAPE
PROOF ROLLING,EARTHWORK
CEMENT TREATMENT (ROAD-MIXED),PAVEMENT
CONCRETE PAVEMENT WIDE FLANGE TERMINALS,SAFETY
EMULSIFIED ASPHALT TREATMENT,PAVEMENT
HOT-MIX COLD-LAID ASPHALT CONCRETE PAVEMENT,PAVEMENT
PERMEABLE FRICTION COURSE,PAVEMENT
FLEXIBLE PAVEMENT STRUCTURE REPAIR,PAVEMENT
TEMP CONSTRUCTION ACCESS,EARTHWORK
SPECIAL CONCRETE PROTECTIVE COAT,STRUCTURES
TEMPORARY CONSTRUCTION ACCESS,EARTHWORK
ASPHALTIC PLUG EXPANSION JOINT SYSTEM,STRUCTURES
TEMPORARY SPECIAL SHORING,EARTHWORK
STEEL PILING,STRUCTURES
PRESTRESSED CONCRETE PILING,STRUCTURES
PRECAST LIGHT POLE FOUNDATION,SIGNALS
STACKED STONE-BLOCK RETAINING WALL (DRY),STRUCTURES
CONCRETE SUBSTRUCTURES,STRUCTURES
ANCHOR BOLTS,STRUCTURES
WATERPROOFING MEMBRANES FOR STRUCTURES,STRUCTURES
"JUNCTION BOXES, MANHOLES, AND INLETS",DRAINAGE
REMOVING AND RE-LAYING CULVERT,DRAINAGE
FLOATING TURBIDITY BARRIER,LANDSCAPE
"TEMPORARY EROSION, SEDIMENTATION, AND ENVIRONMENTAL CONTROLS",LANDSCAPE
SALT SHED,SITE_WORK
HISTORICAL MARKER RELOCATION,SITE_WORK
COLORED TEXTURED CONCRETE,PAVEMENT
HIGH PERFORMANCE PAVEMENT MARKINGS WITH RETROREFLECTIVE REQUIREMENTS,TRAFFIC_CONTROL
PREFORMED IN-LANE (TRANSVERSE) AND CENTERLINE RUMBLE STRIPS,TRAFFIC_CONTROL
COMPUTERIZED TRANSPORTATION MANAGEMENT SYSTEM,SIGNALS
RADAR PRESENCE DETECTION DEVICES (INSTALLATION ONLY),SIGNALS
COMMUNICATIONS HUB BUILDING,SIGNALS
COMMUNICATION CABINET,SIGNALS
REMOVE AND RELOCATE EXISTING TRAFFIC MANAGEMENT EQUIPMENT,SIGNALS
DECORATIVE MEDALLION W/ LED BACKLIGHT,SIGNALS
LED HIGH MAST ILLUMINATION ASSEMBLIES,SIGNALS
ELECTRICAL CONDUCTORS,SIGNALS
TRUCK PARKING AVAILABILITY VEHICLE DETECTION SYSTEM,SIGNALS
TRAFFIC SIGNAL CABLES,SIGNALS
FENDER SYSTEM REPAIR,SAFETY
WATER AND SANITARY SEWER SYSTEMS,UTILITIES
PUMP STATIONS AND DRAINAGE SYSTEM CLEANING,DRAINAGE
BRIDGE JOINT REPAIR OR REPLACEMENT,STRUCTURES
TRAFFIC SIGNAL POLE ASSEMBLIES (STEEL) (MATERIALS ONLY),SIGNALS
LANDSCAPE AMENITY (DOUBLE-BANNER POLES),LANDSCAPE
LANDSCAPE ESTABLISHMENT,LANDSCAPE
AGGREGATES FOR SURFACE TREATMENTS,PAVEMENT
SUPERPAVE MIXTURES - BALANCED MIX DESIGN,PAVEMENT
REINFORCEMENT GRID FOR ASPHALT PAVEMENT OVERLAYS,PAVEMENT
DENSE-GRADED HOT-MIX ASPHALT,PAVEMENT
STONE-MIX ASPHALT,PAVEMENT
RELOCATE EXISTING TRUSS BRIDGE,STRUCTURES
WICK DRAINS,DRAINAGE
TIMBER RAIL BRIDGE CONSTRUCTION,STRUCTURES
RETAINING WALLS,STRUCTURES
BAT HOUSE,LANDSCAPE
PRECAST CONCRETE WHEEL STOPS,SITE_WORK
PORTABLE CHANGEABLE MESSAGE SIGN,TRAFFIC_CONTROL
STAINLESS STEEL SLIDE GATES,DRAINAGE
ORTHOPHOTO,SITE_WORK
ORNAMENTAL STEEL FENCE AND GATE,SITE_WORK
RECREATION EQUIPMENT,SITE_WORK
APPLIED FILM WALL MURAL,SITE_WORK
WIRE FENCE,SITE_WORK
PIPE UNDERDRAINS,DRAINAGE
PREPARATION OF EXISTING GROUND BOXES AND MANHOLES,SIGNALS
MULTI-DUCT CONDUIT SYSTEM,SIGNALS
RAISED PAVEMENT MARKERS FOR SEAL COAT PROJECT,TRAFFIC_CONTROL
HIGHWAY TRAFFIC SIGNALS (COFW),SIGNALS
PREFORMED IN-LANE (TRANSVERSE)/CENTERLINE RUMBLE STRIPS,TRAFFIC_CONTROL
GLOBAL POSITIONING SYSTEM (GPS) COMMUNICATION UNIT,SIGNALS
MPEG 4 VIDEO ENCODER,SIGNALS
WORK ZONE INTELLIGENT TRANSPORTATION SYSTEM,SIGNALS
ELECTRICAL SERVICES,SIGNALS
SIGNS,TRAFFIC_CONTROL
LARGE ROADSIDE SIGN SUPPORTS AND ASSEMBLIES,TRAFFIC_CONTROL
LED STRIP LIGHT (WHITE),SIGNALS
DECORATIVE MEDALLION ASSEMBLY WITH LIGHT-EMITTING DIODE (LED) BACKLIGHTING,SIGNALS
LED DECORATIVE BRIDGE LIGHTING STRING ASSEMBLY,SIGNALS
LED DECORATIVE GUARDRAIL POST LIGHTING,SIGNALS
TEMPORARY ELECTRIC GENERATOR,SIGNALS
MOBILE RETROREFLECTIVITY DATA COLLECTION FOR PAVEMENT MARKINGS,TRAFFIC_CONTROL
ROADSIDE FLASHING BEACON ASSEMBLIES,SIGNALS
MAINTENANCE OF TRAFFIC SIGNALS AND ILLUMINATION,SIGNALS
MAINTENANCE SPEED LIMIT SIGNING,TRAFFIC_CONTROL
WATER MAINS AND SERVICE LINES,UTILITIES
DRY DOCKING 28-CAR FERRYBOAT,SITE_WORK
LANE CLOSURES (HOURLY),TRAFFIC_CONTROL
ROADSIDE MOWING,LANDSCAPE
WATER MAIN RELOCATION,UTILITIES
STEEL MEMBER REPAIR,STRUCTURES
DENSE-GRADED HOT-MIX ASPHALT (SMALL QUANTITY) (MATERIALS ONLY),PAVEMENT
ASPHALT CONCRETE PATCHING MATERIAL (STOCKPILE STORAGE OR BAGGED) (MATERIAL ONLY),PAVEMENT
WINTER WEATHER MATERIALS (CLEAR ROADS MATERIALS),SAFETY
SMALL ROADSIDE SIGN ASSEMBLIES (MATERIALS ONLY),TRAFFIC_CONTROL
DEEP SOIL-CEMENT MIXING (DSCM),EARTHWORK
FRICTIONAL ASPHALTIC SURFACE PRESERVATION TREATMENT,PAVEMENT
COLD IN-PLACE RECYCLING (CIR) USING FOAMED ASPHALT,PAVEMENT
FABRIC UNDERSEAL,PAVEMENT
PERMEABLE CONCRETE EDGE DRAIN,DRAINAGE
THERMOPLASTIC PIPE,DRAINAGE
SPECIAL PROTECTIVE COAT,STRUCTURES
BRIDGE BEARINGS,STRUCTURES
METAL FOR STRUCTURES,STRUCTURES
HEADWALLS AND WINGWALLS,DRAINAGE
CONCRETE BRIDGE DECK SURFACING,STRUCTURES
PRE-ENGINEERED METAL BUILDING AND CANOPY,SITE_WORK
PORTABLE TRAFFIC BARRIER,SAFETY
SHAFT CONSTRUCTION,STRUCTURES
DUCT CABLE,SIGNALS
INTELLIGENT TRANSPORTATION SYSTEM (ITS) GROUND MOUNTED CABINET,SIGNALS
MULTI-SENSOR VEHICLE DETECTION SYSTEM FOR SIGNALIZED INTERSECTION,SIGNALS
REMOVE HUB BUILDING,SIGNALS
TEMPORARY QUEUE DETECTION SYSTEM,SIGNALS
5 GHZ ETHERNET RADIO,SIGNALS
PEDESTRIAN ILLUMINATION ASSEMBLY,SIGNALS
SOLAR POWERED LIGHT EMITTING DIODE (LED) ROADSIDE SIGN,TRAFFIC_CONTROL
TEMPORARY TRAVEL TIME SYSTEM,SIGNALS
SOLAR POWERED VEHICLE DETECTION ACTIVATED LED EMBEDDED SIGN,SIGNALS
TUNNEL LIGHTING,SIGNALS
LIGHTING CONTROL SYSTEM,SIGNALS
LED DECORATIVE BRIDGE COLUMN SPOT LIGHTING ASSEMBLY,SIGNALS
DECORATIVE METALWORK LED BACKLIGHTING,SIGNALS
DELINEATOR AND OBJECT MARKER ASSEMBLIES,TRAFFIC_CONTROL
ELIMINATING EXISTING PAVEMENT MARKINGS AND MARKERS,TRAFFIC_CONTROL
DEBRIS REMOVAL AND DISPOSAL,SITE_WORK
BATCH DETENTION SYSTEM,DRAINAGE
MAINTENANCE COMPUTER-CONTROLLED CARTRIDGE FILTER SYSTEM,DRAINAGE
FLANGED-END FLAT BOTTOM CHECK VALVE,DRAINAGE
RELOCATION OF MARINE REPAIR EQUIPMENT,SITE_WORK
DRY DOCKING 20-CAR FERRYBOAT,SITE_WORK
VALVE AND PIPE,DRAINAGE
DEBRIS REMOVAL,SITE_WORK
SIPHON PUMPING STATION,DRAINAGE
CLEANING AND RESHAPING DITCHES,DRAINAGE
PERMANENT CONCRETE TRAFFIC BARRIER REPAIR,SAFETY
WINTER WEATHER MATERIALS (CLEAR ROADS MATERIALS): VOID - DO NOT USE,SAFETY
ASPHALTIC CONCRETE PATCHING MATERIAL (STOCKPILE STORAGE OR BAGGED) (MATERIALS ONLY),PAVEMENT
LARGE ROADSIDE SIGN SUPPORTS AND ASSEMBLIES (MATERIALS ONLY),TRAFFIC_CONTROL
BASE MOUNTED TRAFFIC DATA COLLECTION CABINET,SIGNALS
CROSS-STITCHING LONGITUDINAL JOINTS,PAVEMENT
PRESSURE IRRIGATION PVC PIPE,LANDSCAPE
REMOVING CONCRETE,SITE_WORK
OBLITERATING ABANDONED ROADWAY,EARTHWORK
ULTRA HIGH PRESSURE WATER CUTTING TREATMENT,STRUCTURES
FOAMED ASPHALT TREATMENT (ROAD-MIXED),PAVEMENT
THIN OVERLAY MIXTURES (TOM),PAVEMENT
CONCRETE PAVEMENT,PAVEMENT
FENDER REPAIR,SAFETY
NEAR SURFACE MOUNTED TITANIUM STRENGTHENING,STRUCTURES
CAST-IN-PLACE NOISE WALLS,STRUCTURES
COMPACTION GROUTING,EARTHWORK
THERMOPLASTIC PIPE CULVERTS AND DRAINS,DRAINAGE
RETROFIT RAILING,STRUCTURES
GABIONS AND GABION MATTRESSES,DRAINAGE
RETROFIT DETECTABLE WARNING SURFACE,SITE_WORK
BOLLARDS,SAFETY
BIRD EXCLUSION METHODS,LANDSCAPE
RUMBLE STRIPS,TRAFFIC_CONTROL
PREVENTIVE MAINTENANCE OF TRAFFIC SIGNALS,SIGNALS
MODULAR GLARE SCREENS FOR HEADLIGHT BARRIER,SAFETY
VIDEO IMAGING VEHICLE DETECTION SYSTEMS MAINTENANCE,SIGNALS
WRONG WAY DRIVER SIGN(S) AND RADAR EQUIPMENT,SIGNALS
ROADWAY ILLUMINATION ASSEMBLIES,SIGNALS
HIGH MAST ILLUMINATION POLES,SIGNALS
CONDUIT,SIGNALS
DECORATIVE MEDALLION ASSEMBLY WITH LED BACKLIGHTING,SIGNALS
RADAR VEHICLE SENSING DEVICE,SIGNALS
HIGH MAST LIGHTING ASSEMBLIES,SIGNALS
OVERHEAD AND UNDERGROUND ELECTRIC DISTRIBUTION,SIGNALS
WATER MAIN REPLACEMENTS,UTILITIES
FERRY LANDING AND FACILITIES UPGRADE,SITE_WORK
FIBER REINFORCED POLYMER PATCHING MATERIAL,PAVEMENT
CONCRETE CRACK REPAIR,STRUCTURES
AGGREGATES FOR SURFACE TREATMENTS (MATERIALS ONLY),PAVEMENT
ASPHALT STABILIZED BASE (MATERIALS ONLY),PAVEMENT
BATTERY BACK-UP SYSTEM COMPONENTS FOR SIGNAL CABINETS (MATERIALS ONLY),SIGNALS
"HERBICIDES, INSECTICIDES, AND ADDITIVES (MATERIALS ONLY)",LANDSCAPE
TREE PROTECTION,LANDSCAPE
TUNNEL BORING MACHINE,EARTHWORK
VEGETATIVE WATERING,LANDSCAPE
REWORKING BASE COURSES,PAVEMENT
LIME TREATMENT (ROAD-MIXED),PAVEMENT
HIGH FRICTION SURFACE TREATMENT,PAVEMENT
EXCAVATION AND BACKFILL FOR STRUCTURES,EARTHWORK
REMOVAL AND INSTALLATION OF SLUICE GATE,DRAINAGE
FIELD CLEANING AND PAINTING STEEL,STRUCTURES
CONCRETE BOX CULVERTS AND DRAINS,DRAINAGE
REMOVING STRUCTURES,STRUCTURES
PEDESTRIAN BARRIER,SAFETY
"BARRICADES, SIGNS, AND TRAFFIC HANDLING",TRAFFIC_CONTROL
BARRIER GATES,SAFETY
RAISED TRAFFIC SEPARATOR CURB GUIDANCE SYSTEM REPAIR,SAFETY
STONE MASONRY HEADWALL AND ROCK WALL,DRAINAGE
FILLING MILLED ASPHALT RUMBLE STRIPS,TRAFFIC_CONTROL
GUARDRAIL END TREATMENTS,SAFETY
RIDE QUALITY FOR PAVEMENT STRUCTURES,PAVEMENT
RADAR VEHICLE DETECTION SYSTEM FOR SIGNALIZED INTERSECTION CONTROL,SIGNALS
DIGITAL CLOSED-CIRCUIT TELEVISION (CCTV) FIELD EQUIPMENT,SIGNALS
TRAILER MOUNTED SOLAR POWERED RADAR SPEED CONTROL MONITOR,SIGNALS
"DMS REPLACEMENT, RELOCATION, AND REMOVAL",SIGNALS
REFURBISH RAISED REFLECTIVE PAVEMENT MARKERS,TRAFFIC_CONTROL
ALUMINUM ELECTRICAL CONDUCTORS,SIGNALS
RAILROAD PREEMPTION SYSTEM,SIGNALS
LED WRONG WAY DRIVER SYSTEM (THERMAL),SIGNALS
TEMPORARY SOLAR ROADWAY ILLUMINATION,SIGNALS
ALL-WEATHER THERMOPLASTIC PAVEMENT MARKINGS,TRAFFIC_CONTROL
SURVEILLANCE SYSTEM LOOP DETECTOR,SIGNALS
ZINC-COATED STEEL WIRE STRAND,STRUCTURES
OVER-HEIGHT VEHICLE DETECTION AND WARNING SYSTEM,SIGNALS
HIGH PERFORMANCE PAVEMENT MARKINGS-RIBBON WITH RETROREFLECTIVE REQUIREMENTS,TRAFFIC_CONTROL
BRIDGE LIGHTING DMX CONTROL SYSTEM,SIGNALS
DECORATIVE ACCENT LIGHTING ASSEMBLY,SIGNALS
THREE-PHASE ELECTRICAL SERVICE,SIGNALS
WELDED STEEL CASING PIPE (OPEN CUT),UTILITIES
NATURAL GAS PIPELINE,UTILITIES
WATER MAIN RELOCATIONS AND ROUTINE APPURTENANCE ADJUSTMENTS,UTILITIES
I-30 WATER AND SANITARY SEWER RELOCATIONS (FORT WORTH),UTILITIES
RIPRAP (MATERIALS ONLY),DRAINAGE
HYDRAULIC CEMENT CONCRETE (MATERIALS ONLY),PAVEMENT
